Abkürzung,Zeilen_gesamt,Einträge,Beispiel_1,Beispiel_2,Auflösung
Postinspekt.,55,6,Postinspekt.,Ob. Postinspekt.,Postinspektor
Insp.,55,31,Just. Insp.,Reichsb. Insp.,Inspektor
Magazinarb.,53,1,Magazinarb.,,Magazinarbeiter
Bürodien.,53,2,Bürodien.,Bürodien. a. D.,Bürodiener
Vertr.,53,14,Vertr.,Gen. Vertr.,Vertreter
Posthelf.,53,1,Posthelf.,,Posthelfer
Wagenführ.,53,6,Wagenführ.,Straßb. Wagenführ.,Wagenführer
Technik.,52,6,Technik.,Masch. Technik.,Techniker
Assess.,52,12,Stud. Assess.,Ger. Assess.,Assessor
Platzarb.,52,1,Platzarb.,,Platzarbeiter
Lebensmittelgesch.,52,1,Lebensmittelgesch.,,Lebensmittelgeschäft
Gen.,51,13,Gen. Vertret.,Gen. Vertr.,General
Zimmerpol.,51,1,Zimmerpol.,,Zimmerpolier
Uhrmach.,51,1,Uhrmach.,,Uhrmacher
Werkführ.,51,12,Werkführ.,Reichsb. Werkführ.,Werkführer
Magazinverwalt.,50,1,Magazinverwalt.,,Magazinverwalter
Stadt-Ob.,50,11,Stadt-Ob. Sekr.,Stadt-Ob. Inspekt.,Stadtober
Kapellmstr.,50,3,Kapellmstr.,Städt. Kapellmstr.,Kapellmeister
Steuerinspekt.,50,3,Steuerinspekt.,Ob. Steuerinspekt.,Steuerinspektor
Amtsger.,50,7,Amtsger. Rat,Amtsger. Rat i. R.,Amtsgerichts
Städt.,50,22,Städt. Angest.,Städt. Beamt.,Städtischer
Vers.,49,15,Vers. Inspekt.,Vers. Agent,Versicherungs
Verwaltgs.,49,17,Verwaltgs. Sekr.,Verwaltgs. Beamt.,Verwaltungs
Amtm.,47,13,Reichsb. Amtm.,Stadt Ob. Amtm.,Amtmann
Vorzeichn.,47,1,Vorzeichn.,,Vorzeichner
Gruppenführ.,47,1,Gruppenführ.,,Gruppenführer
Elektr.,46,19,Elektr.,Elektr. Monteur,Elektriker
Obermstr.,46,7,Obermstr.,Pol. Obermstr.,Obermeister
Syndik.,46,6,Syndik. Beamt.,Syndik. Beamt. a. D.,Syndikats
Lagerverwalt.,45,2,Lagerverwalt.,Lagerverwalt. a. D.,Lagerverwalter
Fabrkt.,45,2,Fabrkt.,Vw. Fabrkt.,Fabrikant
Erdarb.,45,1,Erdarb.,,Erdarbeiter
Bez.,44,15,Bez. Schornsteinfegermstr.,Bez. Direkt.,Bezirks
Verwalt.,44,16,Verwalt.,Magaz. Verwalt.,Verwalter
Rangieraufseh.,43,4,Rangieraufseh.,Rangieraufseh. a. D.,Rangieraufseher
Kauenwärt.,43,1,Kauenwärt.,,Kauenwärter
Anwärt.,43,17,Lok. Führ. Anwärt.,Reichsb. Anwärt.,Anwärter
Landger.,43,7,Landger. Rat,Landger. Direkt.,Landgerichts
Rentn.,43,2,Rentn.,Soz. Rentn.,Rentner
Dipl.-Ing.,42,2,Dipl.-Ing.,Dipl.-Ing. Architekt,Diplom-Ingenieur
Autoschloss.,42,1,Autoschloss.,,Autoschlosser
Maschinenschloss.,42,1,Maschinenschloss.,,Maschinenschlosser
Metallarb.,42,1,Metallarb.,,Metallarbeiter
Stadtob.,41,8,Stadtob. Inspekt.,Stadtob. Sekr.,Stadtober
Kartoffelhdlg.,40,1,Kartoffelhdlg.,,Kartoffelhandlung
Hausbes.,40,1,Hausbes.,,Hausbesitzer
Berginv.,40,1,Berginv.,,Berginvalide
Maurermstr.,39,2,Maurermstr.,Maurermstr. a. D.,Maurermeister
Bergw.,39,18,Bergw. Direkt.,Bergw. Beamt.,Bergwerks
Bauing.,39,2,Bauing.,"Bauing., B.A.J.",Bauingenieur
Glasmach.,39,1,Glasmach.,,Glasmacher
Lademstr.,39,5,Lademstr.,Reichsb. Lademstr.,Lademeister
Holzmstr.,39,2,Holzmstr.,Holzmstr. a. D.,Holzmeister
Markenkontroll.,38,1,Markenkontroll.,,Markenkontrolleur
Platzmstr.,38,2,Platzmstr.,Ob. Platzmstr.,Platzmeister
Tiefbauarb.,38,1,Tiefbauarb.,,Tiefbauarbeiter
Modellschrein.,38,1,Modellschrein.,,Modellschreiner
Bauingen.,38,2,Bauingen.,Bauingen. a. D.,Bauingenieur
Zahntechn.,38,3,Zahntechn.,Zahntechn. Laboratorium,Zahntechniker
Mont.,38,6,Mont.,Ob. Mont.,Monteur
Betriebsführ.,36,3,Betriebsführ.,Betriebsführ. a. D.,Betriebsführer
Schrein.,36,1,Schrein.,,Schreiner
Kernmach.,36,1,Kernmach.,,Kernmacher
Heilgeh.,36,2,Heilgeh.,staatl. gepr. Heilgeh.,Heilgehilfe
Bahnwärt.,36,5,Bahnwärt.,Ob. Bahnwärt.,Bahnwärter
Rottenführ.,36,4,Rottenführ.,Rottenführ. a. D.,Rottenführer
Gew.,35,8,Gew. Ob. Lehr.,Gew. Lehrerin,Gewerbe
Betriebsleit.,35,3,Betriebsleit.,Betriebsleit. a. D.,Betriebsleiter
Bergassess.,35,3,Bergassess.,Bergassess. a. D.,Bergassessor
Installat.,35,1,Installat.,,Installateur
Konditormstr.,35,1,Konditormstr.,,Konditormeister
Lederhdlg.,34,1,Lederhdlg.,,Lederhandlung
Steuerassist.,34,2,Steuerassist.,Steuerassist. a. D.,Steuerassistent
Elektrik.,34,1,Elektrik.,,Elektriker
Inv.,34,1,Inv.,,Invalide
Automont.,34,1,Automont.,,Automonteur
Stadtamtm.,33,5,Stadtamtm.,Stadtamtm. a. D.,Stadtamtmann
Reichsinval.,33,1,Reichsinval.,,Reichsinvalide
Stallmstr.,33,2,Stallmstr.,Ob. Stallmstr.,Stallmeister
Vermess.,33,15,Vermess. Techn.,Vermess. Ob. Sekr.,Vermessungs
Gelderheb.,33,2,Gelderheb.,Ob. Gelderheb.,Gelderheher
Strafanst.,33,16,Strafanst. Ob. Wachtmstr.,Strafanst. Hauptwachtmstr.,Strafanstalt
Hüttenarb.,33,1,Hüttenarb.,,Hüttenarbeiter
Stellm.,33,1,Stellm.,,Stellmacher
Lohnbuchhalt.,32,2,Lohnbuchhalt.,I. Lohnbuchhalt.,Lohnbuchhalter
Weißwr.,32,1,Weißwr.,,Weißwaren-Händler
Maschinensteig.,32,2,Maschinensteig.,Maschinensteig. a. D.,Maschinensteiger
Autovermietg.,32,1,Autovermietg.,,Autovermietung
Zimmermstr.,31,2,Zimmermstr.,Zimmermstr. a. D.,Zimmermeister
Pens.,31,1,Pens.,,Pensionär
Amtsgeh.,31,5,Amtsgeh.,Pol. Amtsgeh.,Amtsgehilfe
Steig.,31,8,Masch. Steig.,Steig. a. D.,Steiger
Kartoffelhdl.,31,1,Kartoffelhdl.,,Kartoffelhändler
Versandleit.,30,2,Versandleit.,Versandleit. a. D.,Versandleiter
Postbetr.,30,7,Postbetr. Assist.,Postbetr. Arb.,Postbetriebs
Hausdien.,30,1,Hausdien.,,Hausdiener
Waschmstr.,30,2,Waschmstr.,Waschmstr. a. D.,Waschmeister
Sattlermstr.,30,1,Sattlermstr.,,Sattlermeister
Gartenbaubetr.,30,1,Gartenbaubetr.,,Gartenbaubetrieb
Hilfsbetr.,30,3,Hilfsbetr. Assist.,Rbhn. Hilfsbetr. Assist.,Hilfsbetrieb
Schneidermstrin.,30,1,Schneidermstrin.,,Schneidermeisterin
Blumengesch.,29,1,Blumengesch.,,Blumengeschäft
Kriegsinval.,29,1,Kriegsinval.,,Kriegsinvalide
Schuhwr.,29,2,Schuhwr.,Schuhwr. Agentur,Schuhwaren-Händler
Schornsteinfegermstr.,29,2,Bez. Schornsteinfegermstr.,Schornsteinfegermstr.,Schornsteinfegermeister
Koksmstr.,29,3,Koksmstr.,Koksmstr. a. D.,Koksmeister
Fabrkbeamt.,29,2,Fabrkbeamt.,Fabrkbeamt. a. D.,Fabrikbeamter
Anw.,29,13,Beamt. Anw.,Lok. Führ. Anw.,Anwärter
Bankarb.,28,1,Bankarb.,,Bankarbeiter
Abtlgs.,28,7,Abtlgs. Leit.,Abtlgs. Vorsteh.,Abteilungs
Gemüsegesch.,28,1,Gemüsegesch.,,Gemüsegeschäft
Ziegelmstr.,28,1,Ziegelmstr.,,Ziegelmeister
Bankdirekt.,28,3,Bankdirekt.,Bankdirekt. a. D.,Bankdirektor
Tagelöhn.,28,1,Tagelöhn.,,Tagelöhner
Obersekr.,28,13,Obersekr.,Reichsb. Obersekr.,Obersekretär
Beifahr.,27,1,Beifahr.,,Beifahrer
Bademstr.,27,3,Bademstr.,Bademstr. a. D.,Bademeister
Friseurmstr.,27,1,Friseurmstr.,,Friseurmeister
Heiz.,27,6,Lok. Heiz.,Lok. Ob. Heiz.,Heizer
Gutsbes.,27,1,Gutsbes.,,Gutsbesitzer
Lampenmstr.,27,3,Lampenmstr.,Ob. Lampenmstr.,Lampenmeister
Bankangest.,27,2,Bankangest.,Bankangest. a. D.,Bankangestellter
Lehr.,27,12,Gew. Ob. Lehr.,Gew. Lehr.,Lehrer
Pension.,26,1,Pension.,,Pensionär
Kurzwr.,26,1,Kurzwr.,,Kurzwaren-Händler
Straßenmstr.,26,4,Straßenmstr.,Straßenmstr. a. D.,Straßenmeister
Bauhilfsarb.,26,1,Bauhilfsarb.,,Bauhilfsarbeiter
Polstermstr.,26,1,Polstermstr.,,Polstermeister
Fliesenleg.,26,1,Fliesenleg.,,Fliesenleger
Malergesch.,26,1,Malergesch.,,Malergeschäft
Uhrm.,26,1,Uhrm.,,Uhrmacher
Abteilgs.,26,8,Abteilgs. Leit.,Abteilgs. Vorsteh.,Abteilungs
Maschinensetz.,25,1,Maschinensetz.,,Maschinensetzer
Hauptm.,25,6,Pol. Hauptm.,Hauptm. a. D.,Hauptmann
Manufakturwr.,25,1,Manufakturwr.,,Manufakturwaren-Händler
Heizungsmont.,25,1,Heizungsmont.,,Heizungsmonteur
Versich.,24,7,Versich. Inspekt.,Versich. Vertret.,Versicherungs
Mittelschullehr.,24,2,Mittelschullehr.,Mittelschullehr. i. R.,Mittelschullehrer
Zigarrengesch.,24,1,Zigarrengesch.,,Zigarrengeschäft
