Beruf,Berufsgruppe,Konfidenz
Ober Postsekret.,sonstige,auto
Ober Postsekretär,verkehr,auto
Ober Postsekretär a. D.,verkehr,auto
Ober Prüfgeh.,sonstige,auto
Ober Realschullehr.,sonstige,auto
Ober Regierungs Baurat,sonstige,auto
Ober Regierungs Medizinalrat i. R.,sonstige,auto
Ober Regierungs Rat,sonstige,auto
Ober Regierungs Rat a. D.,sonstige,auto
Ober Regierungs u. Baurat,sonstige,auto
Ober Reisender,handel,auto
Ober Rentmstr.,sonstige,auto
Ober Revisor,verwaltung,auto
Ober Schachtmeister,bergbau,auto
Ober Schaffner,verkehr,auto
Ober Schaffner a. D.,verkehr,auto
Ober Schaffner i. R.,verkehr,auto
Ober Schirrmeister,industrie,auto
Ober Schmelz.,sonstige,auto
Ober Schmelzer,bergbau,auto
Ober Schmelzmstr.,sonstige,auto
Ober Schullehr.,sonstige,auto
Ober Schullehrer,sonstige,auto
Ober Schullehrer a. D.,sonstige,auto
Ober Schullehrerin,bildung,auto
Ober Schullehrerin a. D.,bildung,auto
Ober Schullehrerin i. R.,bildung,auto
Ober Schwest.,sonstige,auto
Ober Sekretär,verwaltung,auto
Ober Sekretär a. D.,verwaltung,auto
Ober Sekretärin,verwaltung,auto
Ober Spark. Sekretär,verwaltung,auto
Ober Spielleit.,sonstige,auto
Ober Staatsanwalt,akademisch,auto
Ober Stabsingen.,sonstige,auto
Ober Stadt Sekretär,verwaltung,auto
Ober Stadtamtmann,verwaltung,auto
Ober Stadtinspektor,verwaltung,auto
Ober Stadtsekretär,verwaltung,auto
Ober Stallmeister,industrie,auto
Ober Steiger,bergbau,auto
Ober Steiger a. D.,bergbau,auto
Ober Steiger i. R.,bergbau,auto
Ober Stellwerksmeister,industrie,auto
Ober Stellwerksmeister a. D.,industrie,auto
Ober Steuer Inspektor,verwaltung,auto
Ober Steuer Sekretär,verwaltung,auto
Ober Steuer-Inspekt.,sonstige,auto
Ober Steuerinsp.,sonstige,auto
Ober Steuerinspektor,verwaltung,auto
Ober Steuersekretär,verwaltung,auto
Ober Stocher,bergbau,auto
Ober Streiger i. R.,sonstige,auto
Ober Studien Direktor,verwaltung,auto
Ober Studien Direktor i. R.,verwaltung,auto
Ober Studien Rat,sonstige,auto
Ober Studiendirektor,akademisch,auto
Ober Studienrat,akademisch,auto
Ober Studienrätin,sonstige,auto
Ober Telegraphen Aufseher a. D.,industrie,auto
Ober Telegraphen Bauführer,industrie,auto
Ober Telegraphen Inspektor,verkehr,auto
Ober Telegraphen Maschinist,industrie,auto
Ober Telegraphen Sekretär,verkehr,auto
Ober Telegraphen Sekretär a. D.,verkehr,auto
Ober Telegraphen Sekretär i. R.,verkehr,auto
Ober Tierarzt,akademisch,auto
Ober Turnlehrer i. R.,sonstige,auto
Ober Verwaltgssekr.,sonstige,auto
Ober Verwaltungs Inspektor,verwaltung,auto
Ober Verwaltungs Sekretär,verwaltung,auto
Ober Verwaltungsinspekt.,verwaltung,auto
Ober Verwaltungsinspektor,verwaltung,auto
Ober Verwaltungssekr.,verwaltung,auto
Ober Verwltgs. Sekretär,verwaltung,auto
Ober Vollzugs Beamter,verwaltung,auto
Ober Vollzugs Beamter a. D.,verwaltung,auto
Ober Vollzugs Beamter i. R.,verwaltung,auto
Ober Wachinspekt.,sonstige,auto
Ober Wachtm.,sonstige,auto
Ober Wachtmeister,industrie,auto
Ober Wachtmeistrin,sonstige,auto
Ober Wachtmstrin.,sonstige,auto
Ober Weichenst.,sonstige,auto
Ober Weichensteller,verkehr,auto
Ober Weichensteller a. D.,verkehr,auto
Ober Weichenwärter,verkehr,auto
Ober Weichenwärter i. R.,verkehr,auto
Ober Werkmeister,industrie,auto
Ober Zoll-Sekr.,sonstige,auto
Ober Zollinspektor,verwaltung,auto
Ober Zollsekretär,verwaltung,auto
Ober Zugschaffner,verkehr,auto
Ober-Ing.,sonstige,auto
Ober-Korrektor,bildung,auto
Oberarzt,sonstige,auto
Oberbahnhofsvorsteh.,sonstige,auto
Oberbahnmstr.,sonstige,auto
Oberbauarbeiter,industrie,auto
Oberbauführ.,sonstige,auto
"Oberbauleit. d. Hoch-, Tief- A.G. f. Hoch- u. Tiefbau",sonstige,auto
Oberbaurat,sonstige,auto
Oberbeleuchter,sonstige,auto
Oberbuchhalter,sonstige,auto
Oberbürgermeister a. D.,industrie,auto
Oberbürgermeister i. R.,industrie,auto
Oberdrucker,sonstige,auto
Obereichmeister,industrie,auto
Oberfaktor,sonstige,auto
Oberfeuerwehrm.,sonstige,auto
Oberförster a. D.,sonstige,auto
Obergartenmstr. i. R.,sonstige,auto
Obergärtner,industrie,auto
Oberheilgehilfe,sozial,auto
Oberheiz.,sonstige,auto
Oberheizer,sonstige,auto
Oberin,sonstige,auto
Oberingenieur,akademisch,auto
"Oberingenieur (B. D. C. I.), Direktor des Drägerwerkes Lübeck, Zweigbüro Essen",akademisch,auto
Oberingenieur B. d. i.,akademisch,auto
Oberingenieur a. D.,akademisch,auto
Oberingenieur i. R.,akademisch,auto
Oberinspektor,verwaltung,auto
Oberinspektor a. D.,verwaltung,auto
Oberkelln.,sonstige,auto
Oberkellner,sonstige,auto
Oberlademstr.,sonstige,auto
Oberladeschaffn.,sonstige,auto
Oberlandmesser,akademisch,auto
Oberlehr.,sonstige,auto
Oberlehrer,sonstige,auto
Oberlehrerin,bildung,auto
Oberleutn.,sonstige,auto
Oberleutn. a. D.,sonstige,auto
Oberleutnant a. D.,sonstige,auto
"Oberleutnant a. D., Polizeirat",militär,auto
Oberltgs. Aufseher,industrie,auto
Obermasch.,sonstige,auto
Obermaschinist,industrie,auto
Obermeister,industrie,auto
Obermeister a. D.,industrie,auto
Obermont.,sonstige,auto
Obermüller,sonstige,auto
Oberpfleger,sonstige,auto
Oberpostinspekt.,sonstige,auto
Oberpostschaffn.,sonstige,auto
Oberpostschaffn. a. D.,sonstige,auto
Oberpostsekr.,sonstige,auto
Oberrealschullehrer,sonstige,auto
Oberregierungsrat,sonstige,auto
Oberschaffn.,sonstige,auto
Oberschaffn. a. D.,sonstige,auto
Oberschaffner a. D.,sonstige,auto
Oberschmelz.,sonstige,auto
Oberschullehr.,sonstige,auto
Oberschullehrer,sonstige,auto
Oberschullehrerin,bildung,auto
Oberschweizer,sonstige,auto
Obersekret.,sonstige,auto
Obersekretär,verwaltung,auto
Obersekretär a. D.,verwaltung,auto
Oberst Leutnant,militär,auto
Oberst a. D.,sonstige,auto
"Oberstabsapotheker a. D., Apothekenbesitzer",akademisch,auto
Obersteig. a. D.,sonstige,auto
Obersteiger,bergbau,auto
Obersteiger a. D.,bergbau,auto
Obersteuerinspekt.,sonstige,auto
Obersteuersekr.,sonstige,auto
Oberstleutn.,sonstige,auto
Oberstleutn. a. D.,sonstige,auto
Oberstleutnant a. D.,sonstige,auto
Oberstrurmbannführ.,sonstige,auto
Oberstudiendirekt.,sonstige,auto
Oberstudienrat,akademisch,auto
Obertheatermeister,industrie,auto
Oberwachtmstr.,sonstige,auto
Oberweichenwärter,verkehr,auto
Oberwerkmeister,industrie,auto
Oberzollinspekt.,sonstige,auto
"Obst, Gemüse",sonstige,auto
"Obst, Gemüse, Lebensmittelhandlung",handel,auto
Obst- u. Gemüsehandlung,handel,auto
Obst- u. Gemüsehändler,handel,auto
"Obst- u. Südfrüchte-Großhdlg., Ernußgroßrösterei",sonstige,auto
Obst-Großhandlung,handel,auto
"Obst-Großhandlung, Großmarkt",handel,auto
Obstgesch.,sonstige,auto
Obstgroßhandel,sonstige,auto
Obstgroßhdl.,sonstige,auto
Obstgroßhändler,handel,auto
Obsthalle,sonstige,auto
"Obsthalle, Friedbergstr. 35",sonstige,auto
Obsthandlg.,sonstige,auto
Obsthandlung,handel,auto
Obsthdlr.,sonstige,auto
Obsthändl.,sonstige,auto
Obsthändler,handel,auto
Odeon-Theater,sonstige,auto
Oekonom,sonstige,auto
Oele,sonstige,auto
Oettingplatz,sonstige,auto
Ofenarbeiter,industrie,auto
Ofenbauer,sonstige,auto
Ofenbaumstr.,sonstige,auto
Ofenheizer,sonstige,auto
Ofenmaur.,sonstige,auto
Ofenmaurer,sonstige,auto
Ofenmstr.,sonstige,auto
Ofenrohrfabrikt.,sonstige,auto
Ofenroller,sonstige,auto
Ofensetz.,sonstige,auto
Ofensetzer,sonstige,auto
Ofenwärt.,sonstige,auto
Ohrenarzt,sonstige,auto
Omnibus- u. Autoverkehr,sonstige,auto
Omnibus-Betrieb,sonstige,auto
Operateur,sonstige,auto
Operationsgeh.,sonstige,auto
Operationsgehilfe,sonstige,auto
Opernfänger,sonstige,auto
Opernsäng.,sonstige,auto
Opernsänger,bildung,auto
Opernsänger a. D.,bildung,auto
Opernsängerin,bildung,auto
Optiker,sonstige,auto
Optikermstr.,sonstige,auto
Orchester-Musiker,bildung,auto
Orchesterwart,sonstige,auto
Ordensbruder,sonstige,auto
Ordensgeistl.,sonstige,auto
Ordensgeistlicher,sonstige,auto
Ordenspriester,bildung,auto
Ordensschwester,sonstige,auto
Organis. Beamter,verwaltung,auto
"Organisationsleiter der ""Alte Leipziger"" Lebensversicherungsges. a. G.",sonstige,auto
Organisator,sonstige,auto
Organist,bildung,auto
Orgelbauer,sonstige,auto
Orgeldreh.,sonstige,auto
Orth. Schuhmachermeister,industrie,auto
Orth. Turnlehrerin,bildung,auto
Orthopädie-Schuhmmstr.,industrie,auto
Ortsgruppenwalt.,sonstige,auto
"Otto, Arzt",akademisch,auto
"Otto, Chefarzt",sonstige,auto
"Otto, Profess.",sonstige,auto
Packer,industrie,auto
Packerin,sonstige,auto
Packermstr.,sonstige,auto
Packhelf.,sonstige,auto
Packmeister,industrie,auto
Pansionär,sonstige,auto
Papierfabrkt.,sonstige,auto
Papiergesch.,sonstige,auto
Papiergroßhandlung,handel,auto
Papiergroßhdl.,sonstige,auto
Papiergroßhdlg.,sonstige,auto
Papierhaus,sonstige,auto
Papierhdlg.,sonstige,auto
Papiervertret.,sonstige,auto
Papierwaren-Händler,handel,auto
Papierwaren-Händler Großhandlung,handel,auto
Papierwarengroßhdlg.,handel,auto
Papierwrgesch.,sonstige,auto
Papierwrgroßhdlg.,sonstige,auto
Parfümerie,sonstige,auto
Parfümeriegroßhdlg.,sonstige,auto
Parfümerien,sonstige,auto
Parkettarbeiter,sonstige,auto
Parkettausführung,sonstige,auto
Parkettfußböden,sonstige,auto
Parkettgesch.,sonstige,auto
Parkettleg.,sonstige,auto
Parkettleger,sonstige,auto
Parkettleger.,sonstige,auto
Parkwächter,sonstige,auto
Parkwärt.,sonstige,auto
Parkwärter,sonstige,auto
Parteikassierer,verwaltung,auto
Partiewr..,sonstige,auto
Passagevertr.,sonstige,auto
Passierer,sonstige,auto
Pastor,sonstige,auto
Patentanw.,sonstige,auto
Patentanwalt,sonstige,auto
Patentbüro,sonstige,auto
Patentingen.,sonstige,auto
Pater,sonstige,auto
Pater Superior,sonstige,auto
"Paul, Berufsberat.",sonstige,auto
Pausanstalt,sonstige,auto
Pediger,sonstige,auto
Pelmanstr. 1,sonstige,auto
Pelzarb.,sonstige,auto
Pelze,sonstige,auto
Pelznäherin,sonstige,auto
Pelzw.,sonstige,auto
Pelzwaren,sonstige,auto
Pelzwr.,sonstige,auto
Penionär,sonstige,auto
Pens,sonstige,auto
Pension,haushalt,auto
Pensionat,sonstige,auto
Pensionr,sonstige,auto
Pensionsinhaberin,handel,auto
Pensionst,sonstige,auto
Pensionär,haushalt,auto
Pensionärin,sonstige,auto
Pensionör,sonstige,auto
Pernsionär,sonstige,auto
"Perser-Orient-Teppiche, Reparat. u. Reinigung",sonstige,auto
Personalchef,sonstige,auto
Personalkontroll.,sonstige,auto
"Personen-Autobusvermietung, Autohof: Wasserturm",sonstige,auto
"Peter, Arzt",akademisch,auto
"Peter, Bürobeamter",verwaltung,auto
"Peter, Polizei Ober Sekretär a. D.",verwaltung,auto
Pfandgeh.,sonstige,auto
Pfandvermittl.,sonstige,auto
Pfandvermittlung,sonstige,auto
Pfarr-Rektor,bildung,auto
Pfarr.,sonstige,auto
Pfarrektor,bildung,auto
Pfarrer,bildung,auto
Pfarrer a. D.,bildung,auto
Pfarrer an Franziskaner-Pfarrei zum Hl. Kreuz,bildung,auto
Pfarrer an St. Elisabeth,bildung,auto
Pfarrer i. R.,bildung,auto
Pfeifen,sonstige,auto
Pfeifenführ.,sonstige,auto
Pfeifenführer,sonstige,auto
Pferdehdl.,sonstige,auto
Pferdehdler.,sonstige,auto
Pferdemetzgerei,sonstige,auto
Pferdepension,sonstige,auto
Pferdepfleg.,sonstige,auto
Pferdepfleger,sonstige,auto
Pflanzenhdlg.,sonstige,auto
Pflaster- u. Tiefbaugesch.,industrie,auto
Pflaster.,industrie,auto
Pflasterer,industrie,auto
Pflastermstr.,industrie,auto
"Pflastermstr., Tief- u. Straßenbau",industrie,auto
Pfleger,sonstige,auto
Pflegerin,sonstige,auto
Pförtn.,sonstige,auto
Pförtner,industrie,auto
Pförtnerin,industrie,auto
Pharmakologe,sonstige,auto
Pharmazeut,sonstige,auto
"Philipp Carl, Landgerichts Direktor i. R.",verwaltung,auto
Philolog.,sonstige,auto
Photo-Kopieranst.,sonstige,auto
Photoarbeiten,sonstige,auto
Photoatelier,sonstige,auto
Photobedarf,sonstige,auto
Photogesch.,sonstige,auto
Photograf,sonstige,auto
Photograph,handel,auto
Photograph Atelier,handel,auto
Photograph Bedarfsart.,handel,auto
Photograph Kunstanst.,handel,auto
Photograph Vergrößerungen,handel,auto
Photograph.,handel,auto
Photograph. Atelier,handel,auto
Photographin,handel,auto
Photogrmstr.,sonstige,auto
Photohdlg.,sonstige,auto
Photovertrieb,sonstige,auto
Physiker,sonstige,auto
Pianist,sonstige,auto
Pianistin,sonstige,auto
Pianobauer,sonstige,auto
Pianofortebauer,sonstige,auto
Pianohdlg.,sonstige,auto
Pianovermietg.,sonstige,auto
Pilierwerkst.,sonstige,auto
Plakatankleber,sonstige,auto
Plakatmal.,sonstige,auto
Plakatmaler,sonstige,auto
Plastermstr.,sonstige,auto
Plattenleg.,sonstige,auto
Plattenleger,sonstige,auto
Plattenmach.,sonstige,auto
Plattierer,sonstige,auto
Plattierungs-Gesch.,sonstige,auto
Plattierungsgesch.,sonstige,auto
Platzanwärt.,sonstige,auto
Platzarbeiter,industrie,auto
Platzaufseh.,sonstige,auto
Platzmeister,industrie,auto
Platzverwalt.,sonstige,auto
Platzwärt.,sonstige,auto
Pliseeanstalt,sonstige,auto
Plättanst.,sonstige,auto
Plätterei,industrie,auto
Plätterin,sonstige,auto
Plätterinnen,sonstige,auto
Po. Ober Sekretär,verwaltung,auto
Pol.-Hauptwachtmstr.,sonstige,auto
Pol.Beamt.,sonstige,auto
Pol.beamt.,sonstige,auto
Pol.hauptwachtmstr.,sonstige,auto
Polier,industrie,auto
Polierer,industrie,auto
Polierermstr.,sonstige,auto
Poliermstr.,sonstige,auto
Polierwerkst.,sonstige,auto
Polierwerkstatt,sonstige,auto
Poliz. Beamter,verwaltung,auto
Polizei,militär,auto
Polizei Amtsgehilfe,verwaltung,auto
Polizei Assistent,militär,auto
Polizei Assistent a. D.,militär,auto
Polizei Assistent i. R.,militär,auto
Polizei Beamt,militär,auto
Polizei Beamter,verwaltung,auto
Polizei Beamter A.d.,verwaltung,auto
Polizei Beamter a. D.,verwaltung,auto
Polizei Beamter i. R.,verwaltung,auto
Polizei Beamtin,verwaltung,auto
Polizei Berufsschullehrer,militär,auto
Polizei Betriebs Assistent,militär,auto
Polizei Betriebs Assistent a. D.,militär,auto
Polizei Büroassistent,verwaltung,auto
Polizei Diener,industrie,auto
Polizei Haupt Wachtmeister,industrie,auto
Polizei Haupt-Wachtmstr.,militär,auto
Polizei Haupt. Wachtmeister,industrie,auto
Polizei Hauptmachtmstr.,militär,auto
Polizei Hauptmann,militär,auto
Polizei Hauptmann a. D.,militär,auto
Polizei Hauptmann i. R.,militär,auto
Polizei Hauptw. a. D.,militär,auto
Polizei Hauptwachmstr.,militär,auto
Polizei Hauptwachtm.,militär,auto
Polizei Hauptwachtmeister,industrie,auto
Polizei Hauptwachtmeister a. D.,industrie,auto
Polizei Hauptwachtmeister i. R.,industrie,auto
Polizei Hauptwchtmstr.,militär,auto
Polizei Hilfswachtmeister,industrie,auto
Polizei Hilfswachtmeister a. D.,industrie,auto
Polizei Inspek.,militär,auto
Polizei Inspekt,militär,auto
Polizei Inspektor,verwaltung,auto
Polizei Inspektor a. D.,verwaltung,auto
Polizei Kanzleiinspekt.,verwaltung,auto
Polizei Kommandeur,militär,auto
Polizei Kommissar,militär,auto
Polizei Kommissar a. D.,militär,auto
Polizei Krim.assist.,militär,auto
Polizei Leutnant,militär,auto
Polizei Major,militär,auto
Polizei Major a. D.,militär,auto
Polizei Major i. R.,militär,auto
Polizei Majos i. R.,militär,auto
Polizei Meister,industrie,auto
Polizei Meister a. D.,industrie,auto
Polizei Meister i. R.,industrie,auto
Polizei Meistr.,militär,auto
Polizei Ob.-Wachtmstr.,militär,auto
Polizei Ober Beamter,verwaltung,auto
Polizei Ober Hauptmstr.,militär,auto
Polizei Ober Hauptwachmstr.,militär,auto
Polizei Ober Hauptwachtmeister,industrie,auto
Polizei Ober Inspektor,verwaltung,auto
Polizei Ober Inspektor i. R.,verwaltung,auto
Polizei Ober Kommissar i. R.,militär,auto
Polizei Ober Leutnant,militär,auto
Polizei Ober Meister,industrie,auto
Polizei Ober Sekr,militär,auto
Polizei Ober Sekretär,verwaltung,auto
Polizei Ober Sekretär a. D.,verwaltung,auto
Polizei Ober Sekretär i. R.,verwaltung,auto
Polizei Ober Sekrww.,militär,auto
Polizei Ober Wachmstr.,militär,auto
Polizei Ober Wachtm.,militär,auto
Polizei Ober Wachtmeister,industrie,auto
Polizei Ober Wachtmeister a. D,industrie,auto
Polizei Ober Wachtmeister a. D.,industrie,auto
Polizei Ober Wachtmst.,militär,auto
Polizei Ober Wachtmstr..,militär,auto
Polizei Ober Waxhtmstr.,militär,auto
Polizei Oberinspektor,verwaltung,auto
Polizei Oberleutn.,militär,auto
Polizei Oberleutnant a. D.,militär,auto
Polizei Obermeister,industrie,auto
Polizei Obermeister a. D.,industrie,auto
Polizei Obermeister i. R.,industrie,auto
Polizei Obersekretär,verwaltung,auto
Polizei Oberst,militär,auto
Polizei Oberst i. R.,militär,auto
Polizei Oberwachtmstr.,militär,auto
Polizei Obwachtmstr.,militär,auto
Polizei Praktikant,militär,auto
Polizei Praktischer,militär,auto
Polizei Rat,militär,auto
Polizei Rat.,militär,auto
Polizei Rechnungs Revisions a. D.,militär,auto
Polizei Sekr,militär,auto
Polizei Sekretär,verwaltung,auto
Polizei Sekretär a. D.,verwaltung,auto
Polizei Sergeant a. D.,militär,auto
Polizei Stabsarzt,militär,auto
Polizei Wachtmeister,industrie,auto
Polizei Wachtmeister A.d.,industrie,auto
Polizei Wachtmeister a. D.,industrie,auto
Polizei Wachtmstrww.,militär,auto
Polizei-Hauptmann,militär,auto
Polizeiamtm.,militär,auto
Polizeiamtsmstr.,militär,auto
Polizeikasino,militär,auto
Polizeimstr.,militär,auto
Polizeipräsident,militär,auto
Polizeirat,militär,auto
Polizeizivilsupern.,militär,auto
Polst.,sonstige,auto
Polsterei,sonstige,auto
Polsterer,industrie,auto
Polsterer u. Dekorateur,industrie,auto
Polsterermstr.,industrie,auto
Polstergesch.,sonstige,auto
Polstermaterial,sonstige,auto
Polstermaterialien,sonstige,auto
Polstermeister,industrie,auto
Polstermöbel,sonstige,auto
Polstermöbelfabrik,sonstige,auto
Polstermöbelgesch.,sonstige,auto
Polstermöbelwerkst.,sonstige,auto
Polstersitzfabrkt.,sonstige,auto
Polsterwerkst.,sonstige,auto
Polsterwerkstätt.,sonstige,auto
Portier,industrie,auto
Porträtzeichn.,sonstige,auto
Posamentierer,sonstige,auto
Post Assistent,sonstige,auto
Post Assistent a. D.,sonstige,auto
Post Betriebs Assistent,sonstige,auto
Post Betriebs Asssit.,sonstige,auto
Post Inspektor,verwaltung,auto
Post Ober Schaffner,verkehr,auto
Post-Assist.,sonstige,auto
Post-Assist. a. D.,sonstige,auto
Post-Betr. Assistin.,sonstige,auto
Post-Inspekt.,sonstige,auto
Post. Assistent,sonstige,auto
Postagentur,sonstige,auto
Postamtmann,verkehr,auto
Postamtmann a. D.,verkehr,auto
Postangest.,sonstige,auto
Postanwärt.,sonstige,auto
Postanwärter,sonstige,auto
Postarb.,sonstige,auto
Postass. a. D.,sonstige,auto
Postassistent,verkehr,auto
Postassistent a. D.,verkehr,auto
Postassistent a. W.,verkehr,auto
Postassistent i. R.,verkehr,auto
Postassistent.,verkehr,auto
Postassistentin,verkehr,auto
Postassistin.,sonstige,auto
Postasssist.,sonstige,auto
Postassst. a. D.,sonstige,auto
Postaushelfer,verkehr,auto
Postaushelferin,verkehr,auto
Postbeamter,verkehr,auto
Postbeamter a. D.,verkehr,auto
Postbeamter i. R.,verkehr,auto
Postbeamtin,verwaltung,auto
Postbeamtin i. R.,verwaltung,auto
Postbeantww.,sonstige,auto
Postbetriebs Arbeiter,industrie,auto
Postbetriebs Assist a. D.,verkehr,auto
Postbetriebs Assistent,verkehr,auto
Postbetriebs Assistent a. D.,verkehr,auto
Postbetriebs Assistin.,verkehr,auto
Postbetriebsassist.,verkehr,auto
Postbote,sonstige,auto
Postbote a. D.,sonstige,auto
Postdirekt.,sonstige,auto
Postdirekt. a. D.,sonstige,auto
Posterei,sonstige,auto
Postesekr.,sonstige,auto
Postgeh.,sonstige,auto
Postgehilfin,sonstige,auto
Posth.,sonstige,auto
Posthelfer,verkehr,auto
Posthelferin,verkehr,auto
Posthilfsschaffn.,sonstige,auto
Postinsp.,sonstige,auto
Postinspektor,verkehr,auto
Postinspektor a. D.,verkehr,auto
Postinspektor i. R.,verkehr,auto
Postkassierer a. D.,verwaltung,auto
Postkutscher,sonstige,auto
Postmeister,industrie,auto
Postmeister i. R.,industrie,auto
Postob. Schaffner,verkehr,auto
Postoberschaffn.,sonstige,auto
Postobersekr.,sonstige,auto
Postobersekr. a. D.,sonstige,auto
Postrat,sonstige,auto
Postschaffn,sonstige,auto
Postschaffner,verkehr,auto
Postschaffner a. D.,verkehr,auto
Postschaffner i. R.,verkehr,auto
Postsekret.,sonstige,auto
Postsekretär,verkehr,auto
Postsekretär a. D.,verkehr,auto
Postsekretär i. R.,verkehr,auto
Postsekreätr,sonstige,auto
Postsortierer,sonstige,auto
Praktik,sonstige,auto
Praktikant,sonstige,auto
Praktischer Arzt,akademisch,auto
Praktischer Magnetopath,sonstige,auto
Praktischer Tierarzt,akademisch,auto
Praktischer Zahnarzt,akademisch,auto
Praktischer Ärztin,akademisch,auto
Prediger,bildung,auto
Prediger a. D.,bildung,auto
Prediger d. Synagogengem.,bildung,auto
Prediger i. R.,bildung,auto
Presse,sonstige,auto
Presse-Photogr.,sonstige,auto
Presseberichterstatter,akademisch,auto
Pressechef,sonstige,auto
Presseführ.,sonstige,auto
Pressephotograph,handel,auto
Presser,sonstige,auto
Presserww.,sonstige,auto
Pressestenogr.,sonstige,auto
Pressestenograf,sonstige,auto
Pressestenograph,sonstige,auto
Pressezeichn.,sonstige,auto
Preßarb.,sonstige,auto
Preßgeh.,sonstige,auto
Preßschilder,sonstige,auto
Priester,bildung,auto
Printenmaler,sonstige,auto
Privat Autoverm.,sonstige,auto
Privat Autovermietung,handel,auto
Privat Fachschule,sonstige,auto
Privat Gelehrter,sonstige,auto
Privat Kindergart.,sonstige,auto
Privat Kraftfahrschule,sonstige,auto
Privat Krankenschwester,sozial,auto
Privat Pension,haushalt,auto
Privat Sekretär,verwaltung,auto
Privat Sekretärin,verwaltung,auto
Privat-Mittag- u. Abendtisch,sonstige,auto
Privat-Sekr.,sonstige,auto
Privatangest.,sonstige,auto
Privatbeamt.,sonstige,auto
Privatdozent,sonstige,auto
"Privatdozent, Chemiker",akademisch,auto
Privatgelehrter,sonstige,auto
Privatier,sonstige,auto
Privatiere,sonstige,auto
Privatierww.,sonstige,auto
Privatkrankenschwester,sozial,auto
Privatlehr.,sonstige,auto
Privatlehrerin,bildung,auto
Privatm.,sonstige,auto
Privatmann,sonstige,auto
Privatpension,sonstige,auto
Privatrsekr.,sonstige,auto
Privatschullehr.,sonstige,auto
Privatsekr.,sonstige,auto
Probiergeh.,sonstige,auto
Produktenhdlg.,sonstige,auto
Prof.,sonstige,auto
"Prof. Chirurg, Chefarzt d. Huyssenstiftung",sonstige,auto
Prof. f. Chirurgie,sonstige,auto
Profess.,sonstige,auto
"Profess., Studienrat",akademisch,auto
"Professer, Werbegestaltung",sonstige,auto
Professor,sonstige,auto
Professor i. R.,sonstige,auto
Prok.,sonstige,auto
Prokur.,sonstige,auto
Prokur. a. D.,sonstige,auto
Prokurist,verwaltung,auto
Prokurist a. D.,verwaltung,auto
Prokurist d. Fried. Krupp A.-G.,verwaltung,auto
Prokurist i. R.,verwaltung,auto
Prokuristin,verwaltung,auto
Propagandist,sonstige,auto
Propagandistin,sonstige,auto
Provisions Angestellter,verwaltung,auto
Provisionsvertret.,sonstige,auto
Präparator,sonstige,auto
Präses,sonstige,auto
Präsident,sonstige,auto
Präzisoins-Spritzgießerei,sonstige,auto
Pröftner,sonstige,auto
Prüfer,industrie,auto
Psych. Berat.,sonstige,auto
Pumpenmasch.,sonstige,auto
Pumpenmaschin.,sonstige,auto
Pumpenwärt.,sonstige,auto
Pumpenwärter,sonstige,auto
Puppenklinik,sonstige,auto
Puther,sonstige,auto
Putzer,sonstige,auto
Putzerin,sonstige,auto
Putzfrau,sonstige,auto
Putzgeschäft,handel,auto
Putzmach.,sonstige,auto
Putzmacherei,sonstige,auto
Putzmacherin,sonstige,auto
Putzmachermstrin.,sonstige,auto
Putzsalon,sonstige,auto
Pächter,sonstige,auto
R.E.,sonstige,auto
Radio,sonstige,auto
Radio Spezialgesch.,sonstige,auto
Radio u. Elektromaterialien,sonstige,auto
Radio-Gesch.,sonstige,auto
Radio-Großhandlung,handel,auto
Radio-Ladestation,sonstige,auto
Radio-Reparatur,sonstige,auto
Radio-Reparaturen,sonstige,auto
Radio-Vertret.,sonstige,auto
Radioanl.,sonstige,auto
Radioapparate,sonstige,auto
Radioart.,sonstige,auto
Radiogesch.,sonstige,auto
Radiogroßhdlg.,sonstige,auto
"Radiohandlg., Fahrräder",sonstige,auto
Radiohdlg.,sonstige,auto
Radiomont.,sonstige,auto
Radioreparaturwerkst.,sonstige,auto
Radiotechn.,sonstige,auto
Radreifenroller,sonstige,auto
Rahmenschneider,industrie,auto
Rammer,sonstige,auto
Rang. Aufs.,sonstige,auto
Rangierarbeiter,industrie,auto
Rangieraufs.,sonstige,auto
Rangieraufseher,industrie,auto
Rangieraufseher a. D.,industrie,auto
Rangieraufseher i. R.,industrie,auto
Rangierer,verkehr,auto
Rangierer i. R.,verkehr,auto
Rangierführer,verkehr,auto
Rangierführer a. D.,verkehr,auto
Rangierleiter,sonstige,auto
Rangiermeister,industrie,auto
Rangiermeister a. D.,industrie,auto
Rangiermeister a.D.,industrie,auto
Rangiermeister i. R.,industrie,auto
Rangiermtr.,sonstige,auto
Rantiermstr.,sonstige,auto
Rathausverw.,sonstige,auto
Ratskeller,sonstige,auto
Rauchwaren,sonstige,auto
Rauchwr.,sonstige,auto
Rauher,sonstige,auto
Raulf,sonstige,auto
Raumkunst,sonstige,auto
"Rauter, Kornbrennerei",sonstige,auto
Ravan,sonstige,auto
Rb. Betriebs Assistent,sonstige,auto
Rbh. Schaffner,verkehr,auto
Rbhn Beamter,verwaltung,auto
Rbhn.-Amtm.,sonstige,auto
Rbk. Beamter,verwaltung,auto
Rbk. Geldzähl.,sonstige,auto
Rbk. Inspektor,verwaltung,auto
Rbk. Kassierer,verwaltung,auto
