Beruf,Berufsgruppe,Konfidenz
"Architekt, Mitglied d. Reichskammer d. Bildenden Künste",akademisch,auto
"Architekt, Mitglied d. Reichskammer d. bildenden Künste",akademisch,auto
"Architekt, Mitglied der Reichskammer d. Bildenden Künste",akademisch,auto
"Architekt, Mitglied der Reichskammer der Bildenden Künste",akademisch,auto
"Architekt, Mitglied der Reichskammer der bildenden Künste",akademisch,auto
"Architekt, Mitglied der Reichskammer der bildenden Künste und beeid. Sachverständiger",akademisch,auto
"Architekt, Mitglieder der Reichskammer der Bildenden Künste",akademisch,auto
"Architekt, Pelmannstr. 27",akademisch,auto
"Architekt, R. D. M. D. B. K.",akademisch,auto
"Architekt, Vors., Verein f. Feuerbestattung, e.V.",akademisch,auto
"Architekt, b. d. Reichskammer d. bildenden Künste a.",akademisch,auto
"Architekt, beeidigter Handelskammer-Sachverständiger",akademisch,auto
Architekt.,akademisch,auto
Architekt. Angestellter,akademisch,auto
Architektin,akademisch,auto
Architektur,akademisch,auto
Architekturbüro,akademisch,auto
Archivar,sonstige,auto
Armaturen,sonstige,auto
Artist,sonstige,auto
Artist.,sonstige,auto
Artistin,sonstige,auto
"Artur, Stadt-Ober-Chemiker",akademisch,auto
Arzt,akademisch,auto
"Arzt, Röntgeninstitut",akademisch,auto
Asphalteur,sonstige,auto
Asphaltgeschäft,sonstige,auto
Asphaltierer,sonstige,auto
Asphaltprodukte,sonstige,auto
Aspirant,sonstige,auto
Assessor,akademisch,auto
Assessor a. D.,akademisch,auto
Assistent,sonstige,auto
Assistent Arzt,akademisch,auto
"Assistent, Arzt",akademisch,auto
Assistenzarzt,sonstige,auto
Atelier,sonstige,auto
Atelier eleganter Damenmoden,sonstige,auto
Atelier f. feine Damengarderobe,sonstige,auto
Atelier f. kirchl. Kunst,sonstige,auto
Atelier für Werbe-Grafik,sonstige,auto
Attache,sonstige,auto
Aufbügelanst.,sonstige,auto
Aufbügelanstalt,sonstige,auto
Aufbügelungsinstitut,sonstige,auto
Aufs.,sonstige,auto
Aufseher,industrie,auto
Aufseher a. D.,industrie,auto
Aufseherin,industrie,auto
Aufsichtsbeamter,verwaltung,auto
Aufsichtsdame,sonstige,auto
Aufsichtshauer,sonstige,auto
Aufwartefrau,sonstige,auto
Aufwärter,sonstige,auto
Aufzieher,sonstige,auto
Aufzugführ.,sonstige,auto
Aufzugmont.,sonstige,auto
Aufzugschlosser,sonstige,auto
Aufzüge,sonstige,auto
"Aug., Bergmann",bergbau,auto
Augenarzt,sonstige,auto
Augenkünstl.,sonstige,auto
Augenkünstler,sonstige,auto
Augenärztin,akademisch,auto
"August, Schildermaler",sonstige,auto
"August, Studienrat",akademisch,auto
